"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000254154",20.2312612417659,1.27690085446944,0.454484133772985,2.80956090561184,0.00496091315599574,0.0343052340842396,NA
"ENSG00000143507",689.492406871882,1.20117233317192,0.204310388939351,5.87915445419901,4.12367460814636e-09,2.02060055799172e-07,"DUSP10"
"ENSG00000228536",11.4427434338239,1.72861783677877,0.600728429568908,2.8775362571391,0.00400793849587452,0.0290163027081089,NA
"ENSG00000116962",20832.0308247141,-1.55554018137704,0.2573676371063,-6.04403956482902,1.50302627941604e-09,7.89970460153413e-08,"NID1"
"ENSG00000092969",341.651343932085,1.68325875219399,0.29842218536214,5.6405282005134,1.69529299217346e-08,7.02613060368631e-07,"TGFB2"
"ENSG00000116711",245.726395275315,2.42202632289629,0.384657108673087,6.29658536989296,3.04273736952592e-10,1.82914205575079e-08,"PLA2G4A"
"ENSG00000177614",306.557141861985,2.54693254328188,0.337467697040496,7.54718915504452,4.44752416171246e-14,5.19780215073177e-12,"PGBD5"
"ENSG00000183831",24.6812182331878,1.58537352926043,0.468333213967603,3.38514007116758,0.000711419413695782,0.00738745457400653,"ANKRD45"
"ENSG00000162630",92.9554411028821,-2.79944714891163,0.559360254390564,-5.00473018405947,5.59403301943284e-07,1.5663292454412e-05,"B3GALT2"
"ENSG00000158716",342.006610982853,-1.35967673740539,0.21358030678151,-6.36611473171221,1.93876432222793e-10,1.21195313910434e-08,"DUSP23"
"ENSG00000272668",354.798670266727,1.02095057937159,0.36623535595489,2.78768983597897,0.00530853417233531,0.036190354705312,"LOC107985216"
"ENSG00000254726",115.971467197197,1.98178523049719,0.364586467471861,5.43570704705365,5.4579565716589e-08,1.95667067703775e-06,"MEX3A"
"ENSG00000135821",42209.664138646,-3.00073722454353,0.2719845545015,-11.0327486428167,2.65620587504156e-28,1.56184905452444e-25,"GLUL"
"ENSG00000153207",2176.38693298846,-1.27904472648982,0.233193984249716,-5.48489589302678,4.13712985635484e-08,1.54452847970581e-06,"AHCTF1"
"ENSG00000223949",38.1274825717191,1.88116488337192,0.343435203280396,5.47749579950908,4.31387244005063e-08,1.60414671604728e-06,"ROR1-AS1"
"ENSG00000187801",52.4159846029928,1.10360819671654,0.339330334961777,3.25231222502066,0.00114470202980649,0.0108289157329507,"ZFP69B"
"ENSG00000282057",114.07471518129,-1.59944270223039,0.404917762415011,-3.95004331914459,7.81370501496736e-05,0.00117242961372907,NA
"ENSG00000142871",11646.5349849009,-1.83306121291517,0.343125219149023,-5.34225148900833,9.17991744205944e-08,3.12915446720635e-06,"CCN1"
"ENSG00000143512",21.3061314769303,1.47668917148444,0.508284091911121,2.90524373078876,0.00366967218939165,0.0270991177062768,"HHIPL2"
"ENSG00000092621",2735.9811117015,1.44349516637822,0.273822918946522,5.27163749452302,1.35211937555842e-07,4.45560038012387e-06,"PHGDH"
"ENSG00000173110",12.8733384415283,2.90886470604983,0.583492210971757,4.98526741463328,6.1876172647204e-07,1.70963592441966e-05,"HSPA6"
"ENSG00000143344",2376.39581382613,1.06777434807239,0.153088667274124,6.97487519543435,3.06142466611112e-12,2.85167160977954e-10,"RGL1"
"ENSG00000158022",6.73962811164625,-3.1031526598676,0.953340791209774,-3.25502977369693,0.00113380478876059,0.0107366235054451,"TRIM63"
"ENSG00000196517",499.658574730751,2.26446017965048,0.157415531521082,14.3852398665453,6.40556369680907e-47,1.72181552170228e-43,"SLC6A9"
"ENSG00000233384",7.48653209030752,3.90087837514073,1.07697021359262,3.62208566765086,0.000292237302618018,0.0035475723135875,"CNIH3-AS2"
